Datum;BundeslandID;Name;Testungen;TestungenPCR;TestungenAntigen;Fälle
2021;2;Kärnten;936879;248648;688231;26111
2021;3;Niederösterreich;5124040;1396330;3727710;142810
2021;4;Oberösterreich;3301345;611519;2689826;92010
2021;5;Salzburg;1333746;317540;1016206;37172
2021;6;Steiermark;2758920;586405;2172515;76893
2021;7;Tirol;2247085;700979;1546106;62628
2021;8;Vorarlberg;1231825;196321;1035504;34332
2021;9;Wien;4741699;2182556;2559143;132154
2021;10;Österreich;22610260;6421765;16188495;630161
2021;1;Burgenland;949104;182242;766862;26452
2021;2;Kärnten;972454;249536;722918;27103
2021;3;Niederösterreich;5245241;1406001;3839240;146188
2021;4;Oberösterreich;3330249;614299;2715950;92816
2021;5;Salzburg;1368198;318944;1049254;38132
2021;6;Steiermark;2805617;589669;2215948;78194
2021;7;Tirol;2357712;706629;1651083;65711
2021;8;Vorarlberg;1260864;196870;1063994;35141
2021;9;Wien;4803867;2210079;2593788;133887
2021;10;Österreich;23093306;6474269;16619037;643624
2021;1;Burgenland;961060;183395;777665;26785
2021;2;Kärnten;990186;250521;739665;27597
2021;3;Niederösterreich;5335669;1414134;3921535;148708
2021;4;Oberösterreich;3367362;616943;2750419;93850
2021;5;Salzburg;1388828;320800;1068028;38707
2021;6;Steiermark;2862543;591326;2271217;79781
2021;7;Tirol;2376380;712407;1663973;66231
2021;8;Vorarlberg;1287471;197522;1089949;35883
2021;9;Wien;4882022;2256011;2626011;136065
2021;10;Österreich;23451521;6543059;16908462;653608
2021;1;Burgenland;974111;184672;789439;27149
2021;2;Kärnten;1020563;251514;769049;28444
2021;3;Niederösterreich;5413536;1424498;3989038;150878
2021;4;Oberösterreich;3419985;619390;2800595;95317
2021;5;Salzburg;1410452;322479;1087973;39310
2021;6;Steiermark;2894660;593978;2300682;80676
2021;7;Tirol;2395114;718645;1676469;66753
2021;8;Vorarlberg;1316236;198330;1117906;36684
2021;9;Wien;4960583;2302634;2657949;138254
2021;10;Österreich;23805240;6616140;17189100;663466
2021;1;Burgenland;982101;185541;796560;27372
2021;2;Kärnten;1021313;252215;769098;28465
2021;3;Niederösterreich;5481795;1436676;4045119;152781
2021;4;Oberösterreich;3453475;621864;2831611;96250
2021;5;Salzburg;1432749;324151;1108598;39932
2021;6;Steiermark;2934598;598097;2336501;81789
2021;7;Tirol;2413237;724157;1689080;67258
2021;8;Vorarlberg;1341643;199063;1142580;37392
2021;9;Wien;5025512;2344036;2681476;140064
2021;10;Österreich;24086423;6685800;17400623;671303
2021;1;Burgenland;1002217;186445;815772;27932
2021;2;Kärnten;1022572;253451;769121;28500
2021;3;Niederösterreich;5559735;1448714;4111021;154953
2021;4;Oberösterreich;3492403;624352;2868051;97335
2021;5;Salzburg;1461084;325658;1135426;40721
2021;6;Steiermark;2974104;599886;2374218;82890
2021;7;Tirol;2432393;729771;1702622;67792
2021;8;Vorarlberg;1377060;199918;1177142;38379
2021;9;Wien;5081347;2377323;2704024;141620
2021;10;Österreich;24402915;6745518;17657397;680124
2021;1;Burgenland;1008849;187349;821500;28117
2021;2;Kärnten;1023272;254140;769132;28519
2021;3;Niederösterreich;5627205;1459284;4167921;156834
2021;4;Oberösterreich;3528840;626331;2902509;98351
2021;5;Salzburg;1475805;326547;1149258;41132
2021;6;Steiermark;2994313;602646;2391667;83453
2021;7;Tirol;2452467;736297;1716170;68352
2021;8;Vorarlberg;1404146;200514;1203632;39134
2021;9;Wien;5132574;2407832;2724742;143048
2021;10;Österreich;24647471;6800940;17846531;686940
2021;1;Burgenland;1013451;188113;825338;28245
2021;2;Kärnten;1023928;254782;769146;28537
2021;3;Niederösterreich;5667003;1468744;4198259;157943
2021;4;Oberösterreich;3554759;628066;2926693;99073
2021;5;Salzburg;1477274;327327;1149947;41172
2021;6;Steiermark;2995783;604116;2391667;83494
2021;7;Tirol;2470439;740979;1729460;68853
2021;8;Vorarlberg;1407607;200919;1206688;39231
2021;9;Wien;5169561;2427382;2742179;144079
2021;10;Österreich;24779805;6840428;17939377;690628
2021;1;Burgenland;1022796;188567;834229;28506
2021;2;Kärnten;1024436;255285;769151;28552
2021;3;Niederösterreich;5724746;1475199;4249547;159552
2021;4;Oberösterreich;3596428;629818;2966610;100235
2021;5;Salzburg;1488972;328297;1160675;41499
2021;6;Steiermark;3020536;605935;2414601;84184
2021;7;Tirol;2491656;747621;1744035;69444
2021;8;Vorarlberg;1426164;201209;1224955;39748
2021;9;Wien;5203615;2435707;2767908;145028
2021;10;Österreich;24999349;6867638;18131711;696747
2021;1;Burgenland;1033403;189366;844037;28802
2021;2;Kärnten;1038815;256459;782356;28952
2021;3;Niederösterreich;5801219;1481130;4320089;161683
2021;4;Oberösterreich;3656302;631815;3024487;101903
2021;5;Salzburg;1530422;329902;1200520;42654
2021;6;Steiermark;3091240;609540;2481700;86155
2021;7;Tirol;2650259;753905;1896354;73864
2021;8;Vorarlberg;1458976;210354;1248622;40663
2021;9;Wien;5255361;2473660;2781701;146470
2021;10;Österreich;25515997;6936131;18579866;711146
2021;1;Burgenland;1047236;190519;856717;29187
2021;2;Kärnten;1072569;257448;815121;29893
2021;3;Niederösterreich;5879319;1487543;4391776;163860
2021;4;Oberösterreich;3723290;634877;3088413;103770
2021;5;Salzburg;1552358;331327;1221031;43265
2021;6;Steiermark;3125254;612388;2512866;87103
2021;7;Tirol;2665899;759518;1906381;74300
2021;8;Vorarlberg;1482416;211060;1271356;41316
2021;9;Wien;5320157;2518947;2801210;148276
2021;10;Österreich;25868498;7003627;18864871;720970
2021;1;Burgenland;1056992;190718;866274;29459
2021;2;Kärnten;1073542;258421;815121;29920
2021;3;Niederösterreich;5950688;1500073;4450615;165849
2021;4;Oberösterreich;3777942;636911;3141031;105293
2021;5;Salzburg;1574675;333300;1241375;43887
2021;6;Steiermark;3155878;615068;2540810;87956
2021;7;Tirol;2680352;764801;1915551;74703
2021;8;Vorarlberg;1506813;211873;1294940;41996
2021;9;Wien;5384956;2568944;2816012;150082
2021;10;Österreich;26161838;7080109;19081729;729146
2021;1;Burgenland;1074010;192082;881928;29933
2021;2;Kärnten;1074447;259287;815160;29945
2021;3;Niederösterreich;6031253;1512942;4518311;168095
2021;4;Oberösterreich;3815087;639278;3175809;106329
2021;5;Salzburg;1599158;334662;1264496;44569
2021;6;Steiermark;3192321;617164;2575157;88972
2021;7;Tirol;2696118;769685;1926433;75142
2021;8;Vorarlberg;1541976;212752;1329224;42976
2021;9;Wien;5453864;2613347;2840517;152002
2021;10;Österreich;26478234;7151199;19327035;737964
2021;1;Burgenland;1080084;192865;887219;30103
2021;2;Kärnten;1075064;259873;815191;29963
2021;3;Niederösterreich;6091597;1522522;4569075;169776
2021;4;Oberösterreich;3838614;641239;3197375;106984
2021;5;Salzburg;1609352;335478;1273874;44854
2021;6;Steiermark;3218761;619362;2599399;89709
2021;7;Tirol;2710948;772907;1938041;75556
2021;8;Vorarlberg;1561244;213437;1347807;43513
2021;9;Wien;5493411;2636299;2857112;153105
2021;10;Österreich;26679075;7193982;19485093;743562
2021;1;Burgenland;1088980;193387;895593;30351
2021;2;Kärnten;1075839;260607;815232;29984
2021;3;Niederösterreich;6150105;1532200;4617905;171407
2021;4;Oberösterreich;3867780;642839;3224941;107797
2021;5;Salzburg;1610352;336166;1274186;44881
2021;6;Steiermark;3219891;620492;2599399;89740
2021;7;Tirol;2730185;777665;1952520;76092
2021;8;Vorarlberg;1570346;214084;1356262;43766
2021;9;Wien;5535105;2654569;2880536;154267
2021;10;Österreich;26848583;7232009;19616574;748286
2021;1;Burgenland;1103951;194033;909918;30768
2021;2;Kärnten;1078270;262976;815294;30052
2021;3;Niederösterreich;6231831;1540451;4691380;173685
2021;4;Oberösterreich;3919154;645042;3274112;109229
2021;5;Salzburg;1643547;337913;1305634;45807
2021;6;Steiermark;3268387;622791;2645596;91092
2021;7;Tirol;2745213;782826;1962387;76511
2021;8;Vorarlberg;1595090;214938;1380152;44456
2021;9;Wien;5612418;2699569;2912849;156421
2021;10;Österreich;27197861;7300539;19897322;758020
2021;1;Burgenland;1114375;195012;919363;31058
2021;2;Kärnten;1133191;264027;869164;31583
2021;3;Niederösterreich;6293966;1547429;4746537;175417
2021;4;Oberösterreich;3956051;647628;3308423;110257
2021;5;Salzburg;1661810;339601;1322209;46316
2021;6;Steiermark;3323246;628255;2694991;92621
2021;7;Tirol;2915780;788036;2127744;81265
2021;8;Vorarlberg;1615633;215594;1400039;45029
2021;9;Wien;5689086;2749355;2939731;158558
2021;10;Österreich;27703138;7374937;20328201;772103
2021;1;Burgenland;1124722;195989;928733;31347
2021;2;Kärnten;1134988;265061;869927;31633
2021;3;Niederösterreich;6372472;1559584;4812888;177605
2021;4;Oberösterreich;4017569;650147;3367422;111972
2021;5;Salzburg;1680364;341302;1339062;46833
2021;6;Steiermark;3350944;630804;2720140;93393
2021;7;Tirol;2930215;792534;2137681;81667
2021;8;Vorarlberg;1638246;216525;1421721;45659
2021;9;Wien;5762561;2794278;2968283;160606
2021;10;Österreich;28012081;7446224;20565857;780713
2021;1;Burgenland;1137008;197129;939879;31689
2021;2;Kärnten;1136054;266127;869927;31662
2021;3;Niederösterreich;6442862;1570743;4872119;179566
2021;4;Oberösterreich;4048640;652499;3396141;112838
2021;5;Salzburg;1698584;342628;1355956;47341
2021;6;Steiermark;3378556;632973;2745583;94162
2021;7;Tirol;2944140;796670;2147470;82055
2021;8;Vorarlberg;1661149;217215;1443934;46297
2021;9;Wien;5851627;2854118;2997509;163088
2021;10;Österreich;28298620;7530102;20768518;788699
2021;1;Burgenland;1154895;197915;956980;32188
2021;2;Kärnten;1137011;267048;869963;31689
2021;3;Niederösterreich;6520787;1582013;4938774;181738
2021;4;Oberösterreich;4084120;655064;3429056;113827
2021;5;Salzburg;1720004;343055;1376949;47938
2021;6;Steiermark;3416045;635057;2780988;95207
2021;7;Tirol;2959494;801051;2158443;82483
2021;8;Vorarlberg;1696208;218209;1477999;47274
2021;9;Wien;5927405;2899267;3028138;165200
2021;10;Österreich;28615969;7598679;21017290;797544
2021;1;Burgenland;1163700;198548;965152;32433
2021;2;Kärnten;1137889;267899;869990;31714
2021;3;Niederösterreich;6575467;1592651;4982816;183262
2021;4;Oberösterreich;4105264;657015;3448249;114416
2021;5;Salzburg;1730191;344745;1385446;48221
2021;6;Steiermark;3441078;636705;2804373;95905
2021;7;Tirol;2972051;804834;2167217;82833
2021;8;Vorarlberg;1714868;218906;1495962;47794
2021;9;Wien;5983389;2929580;3053809;166761
2021;10;Österreich;28823897;7650883;21173014;803339
2021;1;Burgenland;1171788;199123;972665;32658
2021;2;Kärnten;1138933;268927;870006;31743
2021;3;Niederösterreich;6650205;1601724;5048481;185345
2021;4;Oberösterreich;4134116;658828;3475288;115220
2021;5;Salzburg;1731233;345588;1385645;48250
2021;6;Steiermark;3442908;638535;2804373;95956
2021;7;Tirol;2988916;809010;2179906;83303
2021;8;Vorarlberg;1723374;219697;1503677;48031
2021;9;Wien;6033077;2946385;3086692;168145
2021;10;Österreich;29014550;7687817;21326733;808653
2021;1;Burgenland;1189714;199704;990010;33158
2021;2;Kärnten;1139991;269985;870006;31772
2021;3;Niederösterreich;6730991;1608879;5122112;187597
2021;4;Oberösterreich;4185277;661486;3523791;116646
2021;5;Salzburg;1761166;347324;1413842;49085
2021;6;Steiermark;3479116;642020;2837096;96965
2021;7;Tirol;3003253;813888;2189365;83702
2021;8;Vorarlberg;1749147;220584;1528563;48750
2021;9;Wien;6096511;2984751;3111760;169913
2021;10;Österreich;29335166;7748621;21586545;817588
2021;1;Burgenland;1202809;200292;1002517;33523
2021;2;Kärnten;1202792;272272;930520;33523
2021;3;Niederösterreich;6790389;1616859;5173530;189252
2021;4;Oberösterreich;4240167;664034;3576133;118176
2021;5;Salzburg;1518728;348700;1170028;42328
2021;6;Steiermark;3564343;646316;2918027;99340
2021;7;Tirol;3129479;818608;2310871;87220
2021;8;Vorarlberg;1773612;221386;1552226;49432
2021;9;Wien;6175290;3044452;3130838;172109
2021;10;Österreich;29597609;7832919;21764690;824903
2021;1;Burgenland;1214446;200475;1013971;33847
2021;2;Kärnten;1204349;273237;931112;33566
2021;3;Niederösterreich;6876060;1628799;5247261;191640
2021;4;Oberösterreich;4293292;666284;3627008;119657
2021;5;Salzburg;1532902;350537;1182365;42723
2021;6;Steiermark;3598517;648566;2949951;100293
2021;7;Tirol;3142482;822862;2319620;87583
2021;8;Vorarlberg;1798832;222269;1576563;50135
2021;9;Wien;6244690;3092399;3152291;174043
2021;10;Österreich;29905570;7905428;22000142;833486
2021;1;Burgenland;1231480;201562;1029918;34322
2021;2;Kärnten;1205413;274301;931112;33596
2021;3;Niederösterreich;6935793;1637977;5297816;193305
2021;4;Oberösterreich;4327249;669163;3658086;120603
2021;5;Salzburg;1546930;352320;1194610;43114
2021;6;Steiermark;3631516;651527;2979989;101212
2021;7;Tirol;3156998;827453;2329545;87987
2021;8;Vorarlberg;1825998;223510;1602488;50892
2021;9;Wien;6325084;3150598;3174486;176284
2021;10;Österreich;30186461;7988411;22198050;841314
2021;1;Burgenland;1248424;203871;1044553;34794
2021;2;Kärnten;1206460;275290;931170;33625
2021;3;Niederösterreich;7012894;1647745;5365149;195453
2021;4;Oberösterreich;4361230;671358;3689872;121550
2021;5;Salzburg;1564143;353228;1210915;43594
2021;6;Steiermark;3668920;653834;3015086;102255
2021;7;Tirol;3172521;832538;2339983;88420
2021;8;Vorarlberg;1862837;224465;1638372;51918
2021;9;Wien;6391625;3192843;3198782;178138
2021;10;Österreich;30489054;8055172;22433882;849748
2021;1;Burgenland;1254623;204591;1050032;34967
2021;2;Kärnten;1207518;276321;931197;33654
